Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
130;VVPP;ADV;reagieren;3;NZZ_1995_03_10_a146_seg3_s3;2;Full|3|Sg|Pres|Ind;Ganz anders reagiert die Luzerner Polizei : sie hat jugendliche Sprayer gejagt und wie Schwerverbrecher verhört .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
93;VVFIN;ADV;rechnen;5;NZZ_1998_05_09_a33_seg6_s1;7;Full|3|Sg|Past|Ind;Die IDA FiSo 1 rechnete noch anders;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
121;VVFIN;ADV;rechnen;15;NZZ_1998_03_18_a213_seg6_s7;14;Full|-2;Der neue Ansatz in der Neuroinformatik entspringt der Einsicht, dass neuronale Systeme anders rechnen als ein Computer .;prozess;rein;done;Vergleich;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVFIN;ADV;regulieren;23;NZZ_1999_10_27_a153_seg8_s1;22;Full|3|Pl|Pres|Ind;Die Sexualgesetzgebung Colorados ist nur ein winziger Ausschnitt aus der Fülle von detaillierten Gesetzen, die das Sexualleben in jedem Gliedstaat anders regulieren .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
98;VVINF;ADV;sagen;12;NZZ_1997_09_15_a136_seg3_s9;11;Full|-2;Rund 85 Minuten war es - man kann es nicht anders sagen - eine Partie zum Einschlafen .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
132;VVPP;ADV;sagen;6;NZZ_1995_07_26_a119_seg9_s3;5;Full|Psp;Deren Stimmenanteil war, anders gesagt, im Vergleich zwischen den Gemeinden um so höher, je mehr Stimmen die eigene Partei bei den Kantonsratswahlen erzielte .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
162;VMFIN;ADV;sagen;6;NZZ_1994_03_29_a119_seg3_s20;8;Mod|3|Sg|Pres|Ind;Auf der Bühne, man kann es anders nicht sagen, wird gebrüllt, was das Zeug hält .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
112;VVFIN;ADV;schreiben;13;NZZ_1997_02_08_a216_seg12_s19;14;Full|3|Pl|Past|Ind;Fraglich ist aber vor allem die der Auswahl zugrundeliegende Annahme, Frauen schrieben anders und die Frauen « von den Rändern » erst recht .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
116;VVPP;ADV;schreiben;12;NZZ_1998_12_02_a133_seg7_s23;11;Full|Psp;Ibsen jedoch hätte seine Stücke ohne Tschechow und Strindberg nicht anders geschrieben .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVFIN;ADV;sehen;2;NZZ_1996_11_23_a25_seg10_s13;5;Full|3|Sg|Pres|Ind;Anscheinend sieht er das anders .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
103;VVINF;ADV;sehen;17;NZZ_1997_02_14_a187_seg3_s10;16;Full|3|Pl|Pres|Ind;Das Schweizer Fernsehen DRS zeigt von Februar bis November 1997 unter dem Titel « Musik anders sehen » eine zehnteilige Marthaler-Retrospektive mit vierundzwanzig Produktionen, die zwischen 1980 und 1992 entstanden sind .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
113;VVPP;ADV;sehen;12;NZZ_1994_06_30_a95_seg9_s11;11;Full|Psp;Dass die grundsätzliche Bedeutung eines Urteils allerdings vom Gerichte bisweilen anders gesehen wird als vom Prozessbeobachter, ist hier schon mehrfach erwähnt worden .;prozess;rein;done;;frei;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
