;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
49;VVFIN;ADJD;halten;3;NZZ_1994_03_24_a189_seg3_s12;11;Full|3|Pl|Past|Ind;Die Grasshoppers hielten nun während einer halben Stunde den Rhythmus konstant hoch und offenbarten in allen Belangen einen Klasseunterschied gegenüber den Aargauern .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
50;VVIZU;ADJD;beibehalten;32;NZZ_1994_12_14_a156_seg3_s3;31;Full|zu;Nach der Ablehnung des 77 Mio. Fr. erfordernden verkehrsfreien Zentrums Oberwetzikon könne man sich erst recht eine Steuersenkung auf jene 113 Prozent leisten , die gemäss Finanzplan 1992 bis 1996 konstant beizubehalten gewesen wären , lautete das Argument .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
51;VVINF;ADJD;halten;35;NZZ_1997_11_14_a196_seg2_s4;31;Full|3|Pl|Pres|Ind;"In Zahlen ausgedrückt bedeutet dies , 24 Partien mit einer Mindest-Performance von mehr als 2600 Elo-Punkten zu spielen ( weltweit gibt es heutzutage etwa fünfzig Spieler , die ihr Rating konstant über 2600 Punkten halten ; für diese Spieler hat sich der inoffizielle Titel « Super-Grossmeister » eingebürgert ) .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
52;VVPP;ADJD;verschönern;27;NZZ_1999_05_17_a106_seg15_s9;26;Full|Psp;Doch ist das eigentliche Problem laut Louis Benech die fehlende Motivation der Angestellten : « Sicher , der Park hat sich in den letzten Jahren konstant verschönert .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
53;VVFIN;ADJD;lassen;22;NZZ_1995_08_05_a151_seg3_s24;26;Full|3|Pl|Pres|Ind;Die Klubs des alten Kontinents warten nicht mehr auf fertige Spieler , sondern nehmen bereits frühzeitig hoffnungsvolle Talente unter Vertrag und lassen Afrikas Fussball dadurch konstant zur Ader .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
54;VVFIN;ADJD;erweisen;3;NZZ_1996_04_23_a267_seg8_s8;18;Full|3|Sg|Past|Ind;Im Test erwies sich nämlich ein Murray Hickory Eisen von 1910 in den einzelnen Treffmomenten als besonders konstant .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
55;VVPP;ADJD;halten;14;NZZ_1999_02_19_a90_seg7_s3;13;Full|Psp;Der Gewinn vor Steuern konnte mit 67 nach 67 Mrd. £ fast konstant gehalten werden .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
56;VVINF;ADJD;halten;15;NZZ_1996_08_02_a81_seg9_s5;14;Full|-2;Die Paulaner-Brauerei AG konnte den Bierabsatz mit einem leichten Minus von 3% nahezu konstant halten , und beim Biergeschäft wurde nach mehreren Jahren mit roten Zahlen wieder ein Betriebsgewinn von 6 Mio. DM erwirtschaftet .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
57;VVPP;ADJD;halten;29;NZZ_1997_04_11_a36_seg4_s8;28;Full|Psp;Hunger herrscht nicht in Albanien , jedoch sind die Lebensmittelpreise seit Januar um 30 bis 40 Prozent gestiegen , nur der Brotpreis ist ein politischer und wird konstant gehalten .;prozess;rein;done;;möglich;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
58;VVINF;ADJD;distanzieren;28;NZZ_1995_08_15_a14_seg12_s20;21;Full|-2;Angesichts der bevorstehenden schweizerischen Präsidentschaft in der OSZE entstünde für das IKRK die heikle Situation , sich gegenüber lokalen Verhandlungspartnern konstant von den politischen Interessen der Eidgenossenschaft distanzieren zu müssen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
