Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
187;VVINF;ADJD;ausfallen;13;NZZ_1996_01_27_a90_seg6_s3;12;Full|-2;Nach Ansicht des Weissen Hauses muss die Aufstockung des Kreditrahmens so grosszügig ausfallen, dass das Thema in diesem Wahljahr endgültig vom Tisch ist .;prozess;rein;done;inanim;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
188;VVFIN;ADJD;stellen;9;NZZ_1995_11_13_a130_seg4_s1;4;Full|3|Sg|Pres|Ind;Dass Tignes dermassen grosszügig seine Infrastruktur zur Verfügung stellt, ist alles andere als selbstverständlich .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
189;VVFIN;ADJD;versorgen;20;NZZ_1997_03_13_a115_seg2_s7;17;Full|3|Sg|Pres|Subj;Am Markt wird ausserdem die Vermutung geäussert, dass die Nationalbank den Geldmarkt nicht mehr so grosszügig mit Liquidität versorge .;prozess;agensorientiert;done;anim_like;ambig degree;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
190;VVIZU;ADJD;ausbauen;13;NZZ_1994_06_14_a84_seg2_s10;12;Full|zu;Für deren Anreise wird geplant, auch das Strassennetz um Budapest grosszügig auszubauen .;prozess;agensorientiert;done;unknown;ambig degree;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
191;VVPP;ADJD;anlegen;6;NZZ_1998_04_28_a279_seg4_s23;5;Full|Psp;Seine langen Löcher sind grosszügig angelegt, obwohl der zweite Schlag immer ein Risiko für den Spieler bedeutet und Brillanz erfordert .;nd;nd;not of interest;;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
192;VMFIN;ADJD;können;31;NZZ_1996_04_20_a17_seg9_s3;21;Mod|3|Sg|Past|Ind;Im Siebentagekrieg Israels von 1993 gewann die Partei zahlreiche Sympathien in den zerstörten Dörfern, weil sie dank iranischer Finanzhilfe grosszügig Zement und Armierungseisen für den Wiederaufbau der Wohnhäuser verteilen konnte .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
193;VVFIN;ADJD;entgegenkommen;17;NZZ_1999_10_05_a82_seg8_s2;16;Full|3|Sg|Past|Ind;Dazu kommt, dass ihnen ihr chinesischer Partnerbetrieb mit dem Plazet der Regierung anfangs auch grosszügig entgegenkam, was die gutgläubigen westlichen Firmen natürlich ermutigte .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
194;VVPP;ADJD;vergessen;23;NZZ_1995_10_24_a99_seg7_s5;22;Full|-2;Mehr und mehr wollen Sortimentsbuchhändler deshalb keine Vertreter mehr empfangen, weil sie den Zeitaufwand der persönlichen Information scheuen und dabei grosszügig vergessen, dass der Verleger seine Lesezeit für neue Manuskripte auch nicht durch die Lagerdrehzahl dividieren kann .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
195;VVPP;ADJD;bemessen;14;NZZ_1994_06_07_a212_seg8_s6;13;Full|-2;Der Kofferraum ist dank dem langen hinteren Überhang und der raumsparenden Hinterachse grosszügig bemessen ( etwa 500 l ) und zudem vielfältig variierbar .;nd;nd;not of interest;;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
196;VVPP;ADJD;einrichten;8;NZZ_1993_04_01_a132_seg2_s6;7;Full|Psp;Die komfortablen Zimmer mit Balkon sind grosszügig eingerichtet mit Parkettböden aus Eukalyptusholz, geschnitzten Kassettentüren, Marmorbad und modernen Bildern .;nd;nd;not of interest;;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
197;VVPP;ADJD;übersehen;30;NZZ_1993_04_02_a39_seg2_s3;29;Full|Psp;Dass wir bei unserer eigenen Entwicklung ökologisch auch nicht gerade zimperlich waren und auf welch schwindelerregend hohem Ressourcenniveau wir uns nach wie vor bewegen, wird immer wieder grosszügig übersehen .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
198;VVPP;ADJD;unterstützen;18;NZZ_1993_04_14_a1_seg8_s9;17;Full|Psp;Man glaubt hier zu wissen, dass Milosevic die linkskonservativen und nationalpatriotischen Gegner des russischen Präsidenten grosszügig unterstützt, und weist auf eine nicht abreissende Kette von Besuchen russischer Delegationen aus jenem Lager in Belgrad hin .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
199;VVFIN;ADJD;nehmen;10;NZZ_1993_04_16_a158_seg1_s2;12;Full|3|Sg|Pres|Ind;"Die Finanzhilfe an Russland von rund 18 Mrd. $ nimmt sich grosszügig aus ; bei näherem Hinsehen sind es an wirklich neuen Mitteln aber nur 3 Mrd. $ .";prozess;rein;done;inanim;"sd; ambig degree";notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
200;VVFIN;ADJD;übergehen;2;NZZ_1993_04_23_a53_seg2_s4;4;Full|3|Sg|Pres|Ind;Auch übergeht man grosszügig die Tatsache, dass sich der Süden mit der Reformation effektiv vom katholisch gebliebenen Norden gelöst hatte .;prozess;agensorientiert;done;anim;;;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
