Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Agens;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
73;VVPP;ADJD;betätigen;29;NZZ_1994_04_26_a180_seg8_s3;28;Full|Psp;Das in diesem Fall serienmässige Fünfgang-Handschaltgetriebe ( Vierstufenautomatik : 3200 Franken Aufpreis ) harmoniert mit dem drehmomentstarken Motor ausgezeichnet und muss selbst auf coupierter Strecke nicht allzu fleissig betätigt werden .;prozess;agensorientiert;done;unknown;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
74;VVINF;ADJD;telefonieren;23;NZZ_1998_11_03_a70_seg3_s26;19;Full|zu;Ganz so unbedarft dürfte Rieger nicht sein, auch wenn er so leichtsinnig war, als polizeilich Gesuchter fleissig mit seinem Mobiltelefon herumzutelefonieren : Ein Anfängerfehler für einen Flüchtigen, normal allerdings für einen, der im « Nachdenkurlaub » Nachhilfe sucht .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
75;VVPP;ADJD;berichten;10;NZZ_1996_06_17_a98_seg11_s18;2;Full|3|Sg|Pres|Ind;So fleissig die Populärwissenschaft über die Ergebnisse der Hirnforschung berichtet : Das Rätsel des Bewusstseins und der Identität, darin sind sich alle einig, ist noch fern jeder Lösung .;prozess;agensorientiert;done;anim_like;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
76;VVFIN;ADJD;erfüllen;17;NZZ_1993_12_27_a37_seg12_s14;18;Reg|*2|*3|*4;"Da sollen Schüler oder Studenten Sätze übersetzen wie : « Seit dieser Zeit erfüllte die Lokomotive &lt;U-127&gt; fleissig ihre Arbeit .";prozess;rein;done;inanim;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
77;VVFIN;ADJD;basteln;17;NZZ_1995_11_16_a174_seg5_s7;19;Full|2|Pl;An seiner Karriere, die 1032 von ihm gerittenen Pferde gewannen 4 489 250 Mark, bastelt Schiergen fleissig selber - und nicht etwa ein hochbezahlter Manager .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
78;VVFIN;ADJD;entscheiden;21;NZZ_1996_04_29_a122_seg3_s6;17;Full|3|Sg|Past|Ind;Im Kern treffen die Unmutsbezeugungen aber wohl nicht nur Türkyilmaz und den Schiedsrichter, der auch fleissig zuungunsten von GC entschied, sondern sie sind auch als Frustreaktionen auf die Leistung des eigenen Teams zu verstehen .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
79;VVFIN;ADJD;bilden;3;NZZ_1997_07_24_a168_seg4_s3;14;Full|3|Sg|Past|Ind;Den Schluss bildete wie der Steuermann eines Nachens der Vater, immer wieder fleissig auf Papier kritzelnd . »;nd;nd;not of interest;;ModSekPräd;frei;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
80;VVFIN;ADJD;stellen;15;NZZ_1995_02_16_a145_seg4_s20;17;Full|3|Sg|Pres|Ind;Um ihre Bestände in Grenzen zu halten und damit sie keine Krankheiten verbreiten, stellt man fleissig Fallen und achtet darauf, dass keine unkontrollierten Futterdepots entstehen .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
81;VVFIN;ADJD;beugen;8;NZZ_1998_04_03_a66_seg3_s9;10;Full|3|Pl|Pres|Ind;Mönche brauen ihr eigenes Bier, Mädchen beugen sich fleissig über ihre Näharbeiten .;prozess;agensorientiert;done;anim;;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
82;VVFIN;ADJD;reiten;6;NZZ_1997_08_30_a196_seg2_s10;7;Full|3|Pl|Past|Ind;Verband, Organisatoren und Sponsoren ritten fleissig auf der Welle des Erfolges, die Zügel nahmen sie aber nur in die Hand, wenn es individuelle Anliegen zu repräsentieren galt .;prozess;agensorientiert;done;clash of coordination;anim+anim_like;frei;+;nd;+;nd;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
